Student,LPIPS,SSIM
112C71002.png,0.3071088194847107,0.8435315668831629
112C71014.png,0.3226519525051117,0.8463034192113058
112598038.png,0.3802522122859955,0.8199668910335137
112598033.png,0.39024099707603455,0.8394984257505581
112C52004.png,0.3926466107368469,0.8092886569216204
112598057.png,0.42219093441963196,0.8326578666999317
110599004.png,0.4386488199234009,0.8148794719922654
